Date,Open,High,Low,Close,Adj Close,Volume
2015-07-23,6.720000,6.870000,6.530000,6.590000,5.705591,51111800
2015-07-30,6.820000,7.100000,6.810000,6.850000,5.930697,62066100
2015-08-06,6.890000,6.900000,6.510000,6.640000,5.748880,44418400
2015-08-13,6.660000,6.720000,6.400000,6.460000,5.593037,34933300
2015-08-20,6.400000,6.420000,5.710000,6.250000,5.411220,98480200
2015-08-27,6.320000,6.370000,6.060000,6.220000,5.385246,53467500
2015-09-03,6.280000,6.580000,6.140000,6.430000,5.567064,39299900
2015-09-10,6.520000,6.760000,6.450000,6.720000,5.818143,45490400
2015-09-17,6.700000,6.830000,6.460000,6.650000,5.757538,50561200
2015-09-24,6.610000,6.830000,6.450000,6.780000,5.870092,63817600
2015-10-01,6.730000,7.040000,6.600000,7.040000,6.095198,62507500
2015-10-08,6.960000,7.060000,6.800000,6.910000,5.982645,50976800
2015-10-15,6.930000,7.090000,6.900000,6.940000,6.008619,37886100
2015-10-22,6.980000,7.030000,6.530000,6.640000,5.748880,41812800
2015-10-29,6.640000,7.630000,6.640000,7.550000,6.536754,122887100
2015-11-05,7.570000,7.590000,7.180000,7.310000,6.328963,35130500
2015-11-12,7.330000,7.370000,7.090000,7.310000,6.328963,48329500
2015-11-19,7.260000,7.400000,7.210000,7.250000,6.277016,28529500
2015-11-26,7.190000,7.480000,7.170000,7.440000,6.441517,27406100
2015-12-03,7.450000,7.470000,6.990000,7.070000,6.121172,51732900
2015-12-10,7.010000,7.130000,6.840000,7.110000,6.155804,51345500
2015-12-17,7.040000,7.240000,6.790000,7.140000,6.181778,55466800
2015-12-24,7.150000,7.230000,7.060000,7.120000,6.164462,23475600
2015-12-31,7.110000,7.210000,6.980000,7.080000,6.129830,48030500
2016-01-07,7.020000,7.550000,7.020000,7.280000,6.302990,118402000
2016-01-14,7.270000,7.420000,6.930000,7.090000,6.138488,72331600
2016-01-21,6.980000,7.310000,6.890000,7.180000,6.216410,75896400
2016-01-28,7.150000,7.220000,6.210000,6.390000,5.532432,155615500
2016-02-04,6.250000,6.360000,5.780000,5.820000,5.038929,85022500
2016-02-11,5.820000,6.130000,5.780000,6.110000,5.290009,64205900
2016-02-18,6.160000,6.200000,5.920000,6.100000,5.281351,74977300
2016-02-25,6.100000,6.220000,5.980000,6.150000,5.324641,59266100
2016-03-03,6.060000,6.190000,5.860000,5.920000,5.125508,47084300
2016-03-10,5.970000,6.110000,5.880000,6.110000,5.290009,59973100
2016-03-17,6.070000,6.160000,5.860000,5.870000,5.082218,44480900
2016-03-24,5.780000,6.070000,5.740000,6.030000,5.220746,37233200
2016-03-31,5.980000,6.000000,5.730000,5.850000,5.064902,70092700
2016-04-07,5.790000,6.090000,5.710000,6.070000,5.255377,60858600
2016-04-14,6.160000,6.310000,6.080000,6.150000,5.324641,36934400
2016-04-21,6.070000,6.100000,5.870000,5.970000,5.168798,72961400
2016-04-28,5.950000,5.980000,5.710000,5.760000,4.986981,73765200
2016-05-05,5.690000,5.730000,5.250000,5.280000,4.571399,116204500
2016-05-12,5.250000,5.290000,5.080000,5.210000,4.510794,120929700
2016-05-19,5.160000,5.600000,5.130000,5.580000,4.831138,72464100
2016-05-26,5.620000,5.720000,5.550000,5.670000,4.909059,40335300
2016-06-02,5.610000,5.760000,5.600000,5.740000,4.969665,55102200
2016-06-09,5.690000,5.760000,5.500000,5.620000,4.865769,61275100
2016-06-16,5.360000,5.630000,5.320000,5.580000,4.831138,49948100
2016-06-23,5.730000,5.750000,5.010000,5.540000,5.066033,86068600
2016-06-30,5.620000,5.700000,5.220000,5.340000,4.883144,53265200
2016-07-07,5.270000,5.930000,5.260000,5.890000,5.386089,57923700
2016-07-14,5.970000,5.990000,5.700000,5.820000,5.322078,45801100
2016-07-21,5.840000,5.890000,5.720000,5.860000,5.358656,47066000
2016-07-28,5.720000,5.780000,5.560000,5.690000,5.203200,73861600
2016-08-04,5.490000,5.710000,5.380000,5.690000,5.203200,107169000
2016-08-11,5.670000,5.800000,5.660000,5.690000,5.203200,49834600
2016-08-18,5.690000,5.790000,5.600000,5.750000,5.258067,53056500
2016-08-25,5.710000,5.760000,5.630000,5.670000,5.184911,29857600
2016-09-01,5.700000,5.890000,5.630000,5.870000,5.367801,25348400
2016-09-08,5.830000,5.840000,5.490000,5.500000,5.029456,81185100
2016-09-15,5.460000,5.580000,5.400000,5.580000,5.102611,49354800
2016-09-22,5.740000,5.750000,5.580000,5.740000,5.248922,38527700
2016-09-29,5.750000,5.830000,5.690000,5.710000,5.221489,39291700
2016-10-06,5.590000,5.590000,5.090000,5.090000,4.654532,86936700
2016-10-13,4.960000,5.040000,4.880000,4.980000,4.553943,51887300
2016-10-20,4.970000,5.200000,4.900000,5.160000,4.718544,48266700
2016-10-27,4.790000,4.790000,4.400000,4.440000,4.060143,111231900
2016-11-03,4.430000,4.490000,4.300000,4.450000,4.069287,70594100
2016-11-10,4.480000,4.530000,4.040000,4.120000,3.767519,83433600
2016-11-17,4.190000,4.220000,4.130000,4.190000,3.831531,37462200
2016-11-24,4.340000,4.360000,4.240000,4.300000,3.932120,32722500
2016-12-01,4.300000,4.730000,4.200000,4.700000,4.297898,68319000
2016-12-08,4.630000,4.800000,4.560000,4.700000,4.297898,77380900
2016-12-15,4.710000,4.990000,4.670000,4.760000,4.352765,86192800
2016-12-22,4.750000,4.930000,4.710000,4.800000,4.389343,33548200
2016-12-29,4.840000,4.880000,4.750000,4.840000,4.425921,39218900
2017-01-05,4.850000,4.990000,4.740000,4.780000,4.371054,59215600
2017-01-12,4.700000,4.800000,4.660000,4.690000,4.288754,48496300
2017-01-19,4.700000,4.770000,4.580000,4.620000,4.224742,62606700
2017-01-26,4.750000,4.770000,4.500000,4.570000,4.179020,63530200
2017-02-02,4.820000,4.920000,4.730000,4.880000,4.462499,89531400
2017-02-09,4.880000,5.010000,4.860000,5.000000,4.572232,55325000
2017-02-16,5.050000,5.110000,4.990000,5.100000,4.663677,53545300
2017-02-23,5.150000,5.290000,5.090000,5.260000,4.809988,74498000
2017-03-02,5.210000,5.300000,5.160000,5.180000,4.736833,55286100
2017-03-09,5.260000,5.390000,5.250000,5.370000,4.910577,36642100
